Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
147222,41702857,G,14.2788,4.05391,0.00335507,13.6908,4.05391,1.93142,0.000827614,1,G,7.1759,-2.54188,2.26244,6.31685,3.40291,1.37747,2.41429,-1,7.25099
147222,41724737,G,13.8726,9.64445,6.6227,-7.45404,11.6994,-0.600403,0.601734,-1,G,3.69316,2.98327,1.4802,1.59292,3.3303,0.461728,0.460576,1,7.00624
147222,41751625,G,8.58776,3.0449,-3.4779,7.2368,4.62247,1.23059,-0.851683,1,G,14.1482,5.47242,-2.49625,12.8056,6.01487,1.49988,-0.427957,-1,2.64453
147222,41760225,G,7.88114,-3.13232,-1.87996,-6.98252,3.65317,-1.40328,-2.60104,-1,G,22.4632,3.63672,-3.18286,21.9369,4.83284,2.2178,-0.718944,-1,25.9087
147222,41779449,G,12.4353,-2.4454,-11.762,3.20943,12.0135,0.264072,-1.77578,-1,T,5.53888,0.633543,-3.99328,-3.78421,4.04323,-0.835343,-1.41346,-1,8.43968
147222,41819153,G,7.98795,3.62632,-1.71184,-6.90764,4.01007,-1.31221,-0.441047,-1,G,8.15764,1.93637,3.03423,-7.31982,3.59945,-1.45856,1.00278,-1,5.05637
147222,41818393,G,21.3701,-4.78694,2.87212,-20.6278,5.58246,-2.01798,2.60118,1,G,13.202,1.83758,2.09976,12.9033,2.79028,2.23598,0.851887,1,33.1985
147222,41828257,G,16.7267,2.07474,-3.05778,-16.3131,3.69521,-2.19066,-0.974638,-1,G,7.13557,-4.02902,4.70605,3.53911,6.19515,0.544034,2.27884,-1,19.9924
147222,41831913,G,54.3936,11.2781,20.3335,-49.1732,23.2518,-1.49383,1.06438,-1,G,6.09458,-2.05927,1.90681,-5.4089,2.80651,-1.41063,2.39462,-1,9.99968
147222,41844585,G,8.41882,-6.81885,-3.37978,-3.59803,7.6105,-0.456726,-2.68143,-1,T,3.70937,-3.56902,0.0294115,-1.00475,3.56914,-0.277918,3.13335,-1,2.60284
147222,41949721,G,16.8821,0.434747,4.1635,16.3546,4.18614,2.07187,1.46675,1,G,12.789,-0.0518726,-9.73404,-8.29413,9.73418,-0.772808,-1.57613,-1,28.0041
147222,41959681,G,9.61786,-0.0273779,3.01496,9.13244,3.01508,1.82755,1.57988,1,T,10.7228,2.00676,1.55987,10.4167,2.54171,2.11828,0.66075,-1,2.59385
147222,41964529,G,10.5727,3.5031,-3.01871,9.50722,4.62431,1.46837,-0.711261,1,G,4.07772,3.8502,-1.10486,-0.756213,4.00559,-0.187686,-0.279454,-1,8.18418
147222,42010553,G,7.12023,2.0752,2.89758,-6.16312,3.56405,-1.31556,0.94929,-1,G,9.1915,-4.21334,-5.1661,6.32705,6.6664,0.844918,-2.25496,1,16.0102
147222,41998897,G,12.0429,-3.60473,-5.05013,-10.3209,6.20467,-1.28212,-2.19072,1,G,6.82617,-2.55763,1.45814,-6.15774,2.94409,-1.48385,2.62344,-1,5.79801
147222,42085121,G,8.96909,-4.36517,-2.9258,-7.26762,5.255,-1.12806,-2.55111,1,G,7.26291,-3.13716,4.91335,4.33082,5.82947,0.687472,2.13904,-1,13.9505
147222,42153961,G,16.3311,-2.17396,6.98376,14.6012,7.3143,1.44196,1.87258,-1,G,9.20232,1.1154,4.09554,8.16419,4.24471,1.40884,1.3049,1,3.13398
147222,42171937,G,6.73341,0.498195,6.12484,-2.75059,6.14507,-0.433869,1.48963,-1,G,6.9451,-6.69725,1.42616,1.15591,6.84741,0.168018,2.93178,1,9.43995
147222,42172921,G,16.2348,4.40549,1.07802,-15.5881,4.53546,-1.94825,0.239984,1,G,5.22338,-4.63589,-0.0867236,2.40281,4.63671,0.497443,-3.12289,-1,16.8987
147222,42259425,G,6.08175,5.26981,-3.01579,0.332619,6.07172,0.0547543,-0.519785,1,T,5.27983,-1.17191,0.220299,-5.14232,1.19244,-2.16783,2.95578,-1,9.01912
147222,41578218,G,15.5088,2.15232,-1.8355,15.2483,2.8287,2.38629,-0.706118,1,T,3.85082,0.798886,-0.192614,-3.76063,0.821778,-2.22575,-0.236588,-1,15.1659
147222,41586026,G,12.2359,-5.19447,5.32242,-9.71575,7.43711,-1.08234,2.34403,1,G,4.97545,3.7819,-2.88861,1.44812,4.75887,0.299788,-0.652274,-1,14.831
